Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Bahamas,BHS,INB (US$ constantes del año 2015),NY.GNP.MKTP.KD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8390539338,8169812079,7819862778,7713736788,7644046465,7881997896,9398444574,10430143910,8754717368,9108313816,9894119825,10292614094,10495203827,10798318549,10710234877,10832624756,11159987711,11415227590,11567950946,11487305733,10921042371,11004160139,11076644648,11388489513,11035966831,11110184396,11177020000,11003255118,11342401294,11384013110,11444804913,8954741178,10247838374,11411606706,11880372466
Bosnia y Herzegovina,BIH,INB (US$ constantes del año 2015),NY.GNP.MKTP.KD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11642951172,11805184384,12255709760,12604088022,13253780986,13688243006,14298641838,15133046106,16065719810,15608662681,15414015889,15436055984,15305170342,15746942250,15852129650,16514883084,16959381142,17337044922,18046746116,18646172309,18011018043,19189401544,19999036044,20601220541
Belarús,BLR,INB (US$ constantes del año 2015),NY.GNP.MKTP.KD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29420254752,29067212982,26276760161,24279725889,21361960921,19151637331,19720725761,21914967248,23753009817,24671932435,26015611026,27253476589,28656253491,30750772562,34216471207,37507909157,41097552401,44408870987,48747356239,48497397769,52318243760,55605176670,55904158297,55739002607,56945011305,54061945286,52507734583,54341894403,56066651560,57248217863,56179998053,57722495735,54711277467,57305853651
Belice,BLZ,INB (US$ constantes del año 2015),NY.GNP.MKTP.KD,,,,,,,,,,,,,,,,,,,,,456382250.7,462854139.9,453989929.1,443269287.4,448619217.6,450140476.7,479517909.5,532691434.2,585905734.2,657698092.4,738703515.1,825302638.2,924848986.7,977955614,966894852.6,980435139.4,987430090.7,1037862130,1067873886,1161031778,1293479106,1341888666,1420379006,1539510496,1588985339,1635321013,1707814486,1736321970,1703244221,1777716456,1749496316,1791071224,1838583376,1930651770,1996075373,2097584100,2083740182,2030910106,2025551496,2111292733,1898969350,2229388600,2407053769,2459149665
Bermudas,BMU,INB (US$ constantes del año 2015),NY.GNP.MKTP.KD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6852905020,6893729000,6810960967,7132213237,7033212284,6919068387,6547365689,6991160714,7512930602,
Bolivia,BOL,INB (US$ constantes del año 2015),NY.GNP.MKTP.KD,,,,,,,,,,,,,,,,,11045769415,11488289026,11624664731,11496746337,11127819816,11122034254,10573080161,10201584586,10189891667,9959611776,9622126996,10001790512,10371971186,10799609379,11350399586,12026357103,12368482575,12893350652,13566535565,14194399068,14847648121,15632503809,16511179641,16507764839,16872258559,17171427002,17593769875,17851160256,18451388022,19355272974,20355962841,21233981271,22651045700,23278437692,24020948138,25359406038,26054265510,27784483064,29748030508,31873100506,33766058926,34760931820,36420678239,37375849220,34428256586,36003427520,37181904950,38365675149
Brasil,BRA,INB (US$ constantes del año 2015),NY.GNP.MKTP.KD,,,,,,,,,,,,,,,,,,6.4089E+11,6.72742E+11,7.18216E+11,7.84292E+11,7.50959E+11,7.16762E+11,6.99891E+11,7.2993E+11,7.90536E+11,8.57772E+11,8.94637E+11,8.92116E+11,1.00926E+12,8.93141E+11,9.0604E+11,9.04176E+11,9.43535E+11,9.84497E+11,1.05172E+12,1.07554E+12,1.10849E+12,1.10759E+12,1.10185E+12,1.15266E+12,1.16456E+12,1.19875E+12,1.21474E+12,1.28731E+12,1.3296E+12,1.38737E+12,1.47711E+12,1.5471E+12,1.54888E+12,1.64998E+12,1.72439E+12,1.75912E+12,1.83266E+12,1.83323E+12,1.7683E+12,1.70628E+12,1.73305E+12,1.74775E+12,1.77104E+12,1.7233E+12,1.78585E+12,1.84598E+12,1.89454E+12
Barbados,BRB,INB (US$ constantes del año 2015),NY.GNP.MKTP.KD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5075115400,,,,,,,,
Brunei Darussalam,BRN,INB (US$ constantes del año 2015),NY.GNP.MKTP.KD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11302037411,11631000864,11268041662,11196641735,11307794678,11460143897,11457013530,12183840190,11372742520,11857303513,12269306422,12449181879,12942348639,13406128504,13420143062,13419616296,13969607542,13505528626,12973613279,12727568963,12926107610,13075203304,13238168653,13171763458,12994673383,13580876417,13458218384,13519219164,12891869136,13660247053,13822516169,13328353648,12678295334,13390954207
Bhután,BTN,INB (US$ constantes del año 2015),NY.GNP.MKTP.KD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,451225322.3,438788708.7,446751767.6,462379463.5,497649700.3,506637928.2,542330952,585870196.1,581123726.2,610258538.7,751230875.5,806756771.8,878717282.7,940627706.1,988567819.2,1066004029,1137202896,1307609393,1350180681,1435733192,1583992121,1707782552,1769403457,1817083598,1920238674,2045040204,2188599135,2224402625,2297135854,2435466122,2244608762,2348397140,2488917470,
