Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Bulgaria,BGR,PIB per cápita (UMN a precios constantes),NY.GDP.PCAP.KN,,,,,,,,,,,,,,,,,,,,,7499.289031,7840.592491,7999.936394,8253.736047,8514.12552,8742.725822,9113.001354,9650.541991,10694.7394,10464.62169,9683.625241,8954.054248,8392.52188,8334.51163,8514.900372,8797.696116,9303.508168,8039.075595,8399.549655,7737.575,8132.582521,8613.312512,9319.192116,9885.245598,10608.58899,11443.00776,12314.6044,13230.99429,14140.90656,13755.93245,14062.15034,14448.425,14641.17654,14643.434,14866.72712,15470.22865,16050.63749,16612.27734,17159.25881,17935.20105,17462.95804,18975.67792,20438.68973,21459.81709
Bahrein,BHR,PIB per cápita (UMN a precios constantes),NY.GDP.PCAP.KN,,,,,,,,,,,6431.934092,6367.512495,6740.098161,7281.400395,7495.569934,6490.648049,8053.085515,8666.155246,8583.179582,8482.462539,8325.117388,7575.531109,6759.544271,6944.285516,7038.006289,6466.306391,6309.289013,6716.064216,6930.51666,6712.411301,6772.408172,7708.824967,8011.055939,8807.306763,8557.072858,8662.421714,8784.056025,8820.205056,9002.366172,9145.322215,9379.410231,9268.043411,8914.664488,8807.102706,8744.520867,8652.808095,8525.578956,8532.028228,8537.46435,8197.741782,8204.067745,8596.835199,8820.849918,8959.927098,8909.674857,8761.480878,8754.549682,8714.536385,8881.724393,9182.170114,8707.169659,8891.691843,9297.891444,9257.104522
Bahamas,BHS,PIB per cápita (UMN a precios constantes),NY.GDP.PCAP.KN,19436.67027,20474.95874,21506.88852,22609.9867,23847.33936,25190.17676,26247.41469,27456.04142,28399.34788,29577.69879,26850.4811,26447.24603,24845.62514,26095.46028,21241.91155,17705.63763,18223.01766,19468.73003,21771.92296,26925.19486,28144.29874,25106.20384,26342.71468,26834.80216,30124.84741,31044.35085,31064.50311,31454.35402,31635.7899,33175.10744,32081.59228,30215.94266,28531.91479,28088.08913,28467.38716,29225.80301,29982.07909,29915.34364,30882.96847,32649.6962,33560.91837,34021.88899,34544.07836,33700.2187,33580.94308,34306.21063,34717.18694,34724.93448,33464.76042,31652.93129,31731.6955,31561.16418,32183.53579,30974.60635,31270.7626,31332.6465,30814.62679,31480.15929,32124.43057,31531.20922,24701.77814,28469.95128,31447.15725,32123.37272
Bosnia y Herzegovina,BIH,PIB per cápita (UMN a precios constantes),NY.GDP.PCAP.KN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1395.295452,1262.11348,1243.261302,1318.969328,1536.253225,1786.288757,2640.946097,3480.212691,3987.905602,4324.315057,4526.157089,4614.025379,4836.083412,5034.4964,5401.463468,5672.922424,6028.947115,6461.337501,6926.78435,6835.995416,7018.770963,7218.063615,7298.568191,7592.657592,7779.435143,8221.856161,8599.729974,8993.48496,9452.624742,9846.100158,9682.900172,10572.92489,11157.72488,11475.07749
Belarús,BLR,PIB per cápita (UMN a precios constantes),NY.GDP.PCAP.KN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6071.588524,5995.962816,5408.455373,4986.391954,4408.191133,3962.573578,4087.263328,4572.174298,4978.611533,5171.103511,5496.864228,5786.213235,6116.957953,6593.769802,7399.041738,8150.027252,9020.090478,9840.870006,10882.16248,10930.77372,11803.67611,12488.00015,12721.18481,12853.16583,13058.05326,12541.31329,12213.74499,12536.77504,12959.2633,13173.26836,13140.17385,13572.59299,13044.81728,13625.26037
Belice,BLZ,PIB per cápita (UMN a precios constantes),NY.GDP.PCAP.KN,3118.972787,3190.708946,3262.836873,3332.198553,3398.97441,3461.890834,3518.448446,3579.65117,3728.084045,3808.010945,3901.968584,3988.122031,4329.675527,4497.580015,5038.121988,5130.991172,5024.733026,5241.379352,5541.298234,5833.154724,6386.924212,6297.63553,6135.773658,5859.997313,5835.895129,5759.603409,5886.460484,6373.950904,6844.388629,7565.310122,8248.486967,9024.807528,9963.714048,10362.64379,10142.29245,9963.947371,9778.897818,9858.539591,9890.617436,10456.57966,11359.26644,11562.57172,11823.41246,12584.3506,12802.18486,12710.06789,12907.55112,12969.94259,12405.66301,12031.13104,11875.28299,11590.96603,11768.34702,12033.00676,12256.28577,12346.59714,12069.75501,11581.12765,11493.42759,11809.89506,10038.33045,11684.19562,12577.06719,12462.47926
Bermudas,BMU,PIB per cápita (UMN a precios constantes),NY.GDP.PCAP.KN,37628.43928,38553.67008,39260.9665,38717.476,42027.16865,43052.69143,48148.08971,53460.29586,53621.93677,54489.50327,57019.93951,58438.4876,59276.94504,59993.95055,60394.73786,62584.37149,68074.71913,71937.96217,72834.17926,74279.08048,79946.71351,81359.07815,76506.33898,77487.64586,77307.43742,75243.05415,79768.12952,82206.38102,84886.08799,84621.0913,84005.05756,80442.03573,79811.74517,81641.23538,81606.29794,84721.10674,86507.17068,89939.16446,92734.83402,95111.01368,103253.0398,110143.1555,108035.2515,111283.0651,113558.6188,115172.6061,121319.6677,125027.7734,122132.7014,114780.1463,111626.3633,107434.9866,101874.3047,101704.4075,98009.6334,98870.88743,98244.32221,101585.8001,100745.2335,100618.7156,93333.13659,97986.10939,104125.0521,104108.3186
Bolivia,BOL,PIB per cápita (UMN a precios constantes),NY.GDP.PCAP.KN,1646.873456,1647.285088,1703.675206,1781.874691,1813.660521,1862.586585,1953.482836,2031.881507,2156.768346,2203.417885,2267.26537,2329.123131,2458.840992,2542.124645,2558.353659,2683.907509,2744.217331,2814.946343,2807.510657,2747.985158,2650.024891,2599.016218,2442.725043,2294.061341,2241.055412,2157.3586,2058.111828,2064.796627,2080.311603,2113.926866,2165.894582,2232.940588,2223.871841,2273.272874,2333.761748,2397.228305,2455.915278,2531.460718,2612.245191,2577.99394,2597.654946,2597.210735,2617.618747,2643.929961,2708.309965,2780.784518,2864.923723,2944.883842,3073.623262,3124.340416,3200.213684,3312.561976,3426.979974,3602.731646,3741.227288,3863.889096,3969.072161,4075.591278,4187.27748,4220.31561,3804.31459,3995.87171,4092.029827,4160.611105
Brasil,BRA,PIB per cápita (UMN a precios constantes),NY.GDP.PCAP.KN,5940.096368,6259.218507,6476.157435,6325.819792,6354.326761,6326.029274,6567.939055,6665.299416,7133.392146,7617.601703,8204.393582,8914.100201,9738.592761,10833.46674,11439.34709,11747.57132,12647.70727,12958.79751,13282.10751,13846.93943,14768.22922,13815.0958,13615.87229,12924.97964,13328.3287,14071.57928,14817.12026,15039.18024,14745.76335,14933.81059,14031.31983,13934.99434,13630.02679,14071.45947,14664.00022,15049.96497,15151.24653,15434.46035,15257.95126,15107.69091,15555.21402,15567.19161,15844.60568,15837.34364,16561.37848,16905.40938,17390.17551,18259.93995,19007.17619,18814.00177,20060.96181,20689.21066,20916.24018,21370.81927,21306.03073,20388.50835,19570.90323,19685.91535,19900.57226,20012.60668,19245.02206,20076.00895,20607.28345,21122.84508
Barbados,BRB,PIB per cápita (UMN a precios constantes),NY.GDP.PCAP.KN,14620.82284,15593.82287,16856.64631,15843.45618,16469.93901,18167.08129,18695.48152,20508.58618,21800.3117,23354.40178,25581.11145,26605.39295,26891.40947,27179.65466,25868.55187,25336.83811,26413.50006,27355.51589,28698.18162,30998.08167,32320.84711,31613.06948,29965.73528,30009.5818,30976.86013,31206.88383,32697.7385,33458.74265,34566.57194,35762.96325,34516.81577,33069.53271,31079.91725,31235.19292,31791.04195,32379.45528,33635.5685,35215.42831,36522.29884,36633.21597,38328.65057,37370.37859,37418.95247,37998.79994,38315.77036,39622.6211,41826.19782,42493.44817,42539.02521,40197.04349,39145.64984,38733.23652,38500.48097,38011.69323,37949.6684,37541.98753,38131.61396,38102.50633,37582.72138,37761.25879,32020.63238,31888.16397,37551.97756,39086.79587
